,var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
496,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg
497,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg
498,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg
499,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg
500,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg
501,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg
502,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg
503,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_092500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg
504,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg
505,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_093500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg
506,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg
507,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_094500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg
508,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg
509,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_095500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg
510,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg
511,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_100500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg
512,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg
513,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_101500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg
514,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg
515,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_102500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105500_03.jpg
516,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110000_03.jpg
517,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_103500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110500_03.jpg
518,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_111000_03.jpg
519,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_104500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_111000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_111500_03.jpg
520,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_105500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_110500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_111000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_111500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_112000_03.jpg
